N,K,seed,stopped,T_stop,correct_at_stop,oracle_str,committed_str,final_regret,stable_under_truth,stable_under_hat,reason_truth,reason_hat,constant
8,8,10,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",47225,1,1,,,0.25
8,8,11,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",96675,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,12,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",64325,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,13,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",9050,1,1,,,0.25
8,8,14,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-mbpp), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-humaneval), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",96400,0,1,"Blocking pair: (Qwen2.5-Coder-7B-Instruct, mbpp)",,0.25
8,8,15,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",22650,1,1,,,0.25
8,8,16,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",26625,1,1,,,0.25
8,8,17,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",76250,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,18,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",62975,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,19,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",17875,1,1,,,0.25
8,8,20,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",30350,1,1,,,0.25
8,8,21,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",41775,1,1,,,0.25
8,8,22,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",39750,1,1,,,0.25
8,8,23,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-mbpp), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-humaneval), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",66325,0,1,"Blocking pair: (Qwen2.5-Coder-7B-Instruct, mbpp)",,0.25
8,8,24,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",54025,1,1,,,0.25
8,8,25,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",60300,1,1,,,0.25
8,8,26,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-mbpp), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-humaneval), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",92975,0,1,"Blocking pair: (Qwen2.5-Coder-7B-Instruct, mbpp)",,0.25
8,8,27,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",37575,1,1,,,0.25
8,8,28,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",57600,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,29,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",98750,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,30,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",12875,1,1,,,0.25
8,8,31,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-math500), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-medqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",43300,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,32,False,100000,0,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-finqa), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-math500), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",99075,0,1,"Blocking pair: (GLM-Z1-9B-0414, math500)",,0.25
8,8,33,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",22100,1,1,,,0.25
8,8,34,False,100000,1,"Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])","Matching(pairs=[(DeepSeek-R1-0528-Qwen3-8B-medqa), (Fin-R1-humaneval), (GLM-Z1-9B-0414-math500), (Intern-S1-mini-korbench), (Qwen2.5-Coder-7B-Instruct-mbpp), (Qwen3-8B-finqa), (gemma-2-9b-it-emorynlp), (glm-4-9b-chat-meld)], unmatched_men=[], unmatched_women=[])",77300,1,1,,,0.25
